-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.034,  0.148
-183.800, 80.198, 0.033,  0.181
-183.800, 80.196, 0.038,  0.214
-183.800, 80.193, 0.112,  0.247
-183.799, 80.185, 0.235,  0.280
-183.798, 80.175, 0.322,  0.313
-183.797, 80.160, 0.481,  0.346
-183.795, 80.139, 0.599,  0.379
-183.794, 80.116, 0.720,  0.412
-183.792, 80.086, 0.916,  0.445
-183.789, 80.047, 1.192,  0.478
-183.785, 80.000, 1.432,  0.511
-183.781, 79.945, 1.646,  0.544
-183.776, 79.885, 1.826,  0.577
-183.772, 79.820, 1.965,  0.610
-183.767, 79.752, 2.055,  0.643
-183.761, 79.683, 2.087,  0.676
-183.756, 79.615, 2.072,  0.709
-183.751, 79.548, 2.034,  0.742
-183.746, 79.483, 1.986,  0.775
-183.741, 79.419, 1.936,  0.808
-183.736, 79.357, 1.884,  0.841
-183.731, 79.297, 1.832,  0.874
-183.726, 79.238, 1.784,  0.907
-183.721, 79.181, 1.742,  0.940
-183.716, 79.125, 1.709,  0.973
-183.712, 79.069, 1.684,  1.006
-183.707, 79.014, 1.669,  1.039
-183.702, 78.959, 1.663,  1.072
-183.697, 78.904, 1.666,  1.105
-183.692, 78.849, 1.676,  1.138
-183.687, 78.792, 1.693,  1.171
-183.681, 78.736, 1.714,  1.204
-183.676, 78.678, 1.737,  1.237
-183.671, 78.620, 1.760,  1.270
-183.665, 78.560, 1.782,  1.303
-183.660, 78.501, 1.802,  1.336
-183.654, 78.440, 1.817,  1.369
-183.648, 78.380, 1.829,  1.402
-183.643, 78.319, 1.836,  1.435
-183.637, 78.258, 1.840,  1.468
-183.631, 78.197, 1.841,  1.501
-183.625, 78.136, 1.840,  1.534
-183.619, 78.075, 1.837,  1.567
-183.613, 78.014, 1.834,  1.600
-183.607, 77.953, 1.831,  1.633
-183.601, 77.893, 1.828,  1.666
-183.595, 77.832, 1.827,  1.699
-183.589, 77.772, 1.827,  1.732
